Description,Ticker,Field ID,Field Mnemonic,Data State,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov
        KPOP and Korean Entertainment,KPOP US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19137,0.0,0.314955,0.0
    Consumer Discretionary,0,0.0,0.0,Sum,292.168063,-305.921911,-270.494517,277.230865,-228.533386,1104.517961,315.092715,804.327853,741.397673,949.107942,324.047615,101.293373,-1749.000379,0.0
        Consumer Discretionary Select,XLY US Equity,0.0,0.0,Expression,286.874102,-656.624415,170.416707,13.161347,-365.421532,120.197132,271.705129,463.695235,91.440311,18.631158,271.577478,934.12231,-1076.046353,0.0
        Vanguard Consumer Discretionar,VCR US Equity,0.0,0.0,Expression,-65.069,30.400484,-203.1875,-75.85,65.211226,-48.0435,0.677923,160.70758,-62.93225,278.93525,72.9605,-57.53681,-318.63425,0.0
        VanEck Gaming ETF,BJK US Equity,0.0,0.0,Expression,3.27735,0.0,22.447347,-11.572531,-2.218787,-5.332011,4.554943,-1.073611,-30.154409,-1.982204,0.0,-6.217765,-4.745452,0.0
        iShares U.S. Home Construction,ITB US Equity,0.0,0.0,Expression,-126.662415,0.306395,115.67323,77.380705,-270.017185,257.312235,24.582175,93.970985,284.84854,27.65491,-182.87598,-167.48435,-136.31896,0.0
        SPDR S&P Homebuilders ETF,XHB US Equity,0.0,0.0,Expression,89.889418,-108.512989,-96.932319,63.11513,3.936159,11.516523,-96.62158,185.286161,98.504418,76.9148,-139.976698,-14.683936,-40.300663,0.0
        iShares US Consumer Discretion,IYC US Equity,0.0,0.0,Expression,5.944575,8.898195,-2.53896,-30.709415,21.186865,-6.23871,-19.31159,-3.23757,23.880795,45.873925,-10.13609,11.551671,-0.177783,0.0
        First Trust Consumer Discretio,FXD US Equity,0.0,0.0,Expression,-20.666593,-14.570415,-16.966378,-5.335,40.1775,823.614,30.5935,-0.0875,59.785,37.135,27.82602,5.594598,-78.798631,0.0
        ETRACS Monthly Reset 2xLeverag,HOML US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        SPDR S&P Retail ETF,XRT US Equity,0.0,0.0,Expression,152.355792,228.589887,-355.086575,41.807827,35.100902,83.434727,-33.859282,-74.982178,124.6282,-29.674425,-56.061323,4.92524,-53.20274,0.0
        Invesco Dynamic Building & Con,PKB US Equity,0.0,0.0,Expression,-3.478226,-4.87818,-2.917125,-1.714942,46.431743,6.828759,7.047843,15.821191,1.979223,14.065691,18.179748,-25.700094,-12.665741,0.0
        Fidelity MSCI Consumer Discret,FDIS US Equity,0.0,0.0,Expression,-15.560175,-2.96706,-5.804275,-17.9713,0.15348,21.73263,16.207975,-3.241725,17.933635,15.028795,-17.80527,-7.823255,3.490765,0.0
        iShares Global Consumer Discre,RXI US Equity,0.0,0.0,Expression,-42.14214,13.1678,6.71058,13.42582,-13.9622,6.43664,14.332125,0.0,7.36859,0.0,-7.876095,-14.667525,0.0,0.0
        Invesco Dynamic Media ETF,PBS US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Invesco S&P 500 Equal Weight C,RCD US Equity,0.0,0.0,Expression,1.194065,141.920241,-43.49723,104.231406,20.908677,-132.649993,6.302577,-10.19924,-6.39567,11.316909,-0.980357,91.366223,-159.734463,0.0
        Global X MSCI China Consumer D,CHIQ US Equity,0.0,0.0,Expression,-11.0513,-9.0209,3.6432,57.5662,9.8122,0.0,0.0,-4.3848,-4.9383,0.0,-11.592,-1.3412,-9.693,0.0
        VanEck Retail ETF,RTH US Equity,0.0,0.0,Expression,7.909275,-16.153073,0.0,0.0,0.0,-0.00456,0.0,-8.136176,0.0,0.0,0.0,8.86625,8.155203,0.0
        Invesco S&P SmallCap Consumer,PSCD US Equity,0.0,0.0,Expression,0.0,0.0,-0.772103,-0.87331,0.953106,2.709331,-2.565979,0.0,0.864975,-0.955319,0.0,4.247855,0.0,0.0
        John Hancock Multi-Factor Cons,JHMC US Equity,0.0,0.0,Expression,-3.093168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Retail Bull 3X,RETL US Equity,0.0,0.0,Expression,-1.772327,0.613994,-1.28152,-4.34981,-0.0186,5.430832,2.431948,7.779419,-0.374219,-4.250389,-4.072289,0.574877,1.875196,0.0
        Invesco DWA Consumer Cyclicals,PEZ US Equity,0.0,0.0,Expression,-1.221785,0.0,-0.667707,-0.67196,-1.393498,-0.687238,0.0,-1.305443,0.0,-0.681838,-0.669757,0.0,-1.242702,0.0
        ProShares Ultra Consumer Discr,UCC US Equity,0.0,0.0,Expression,0.0,0.0,-0.451691,0.0,1.980244,0.248525,-0.263057,0.0,0.004201,0.700382,1.61653,-1.649951,-1.605506,0.0
        First Trust S-Network Future V,CARZ US Equity,0.0,0.0,Expression,0.0,-2.067311,0.0,0.0,0.0,-7.2785,0.0,0.0,-5.509,11.42,0.0,-5.403532,0.0,0.0
        SPDR S&P International Consume,IPD US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Invesco Dynamic Retail ETF,PMR US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Homebuilders &,NAIL US Equity,0.0,0.0,Expression,7.074469,-11.947795,-10.935264,-7.418557,-2.210295,-1.739189,-18.183737,-5.629235,-6.670088,-12.646295,-3.451599,5.599668,4.435154,0.0
        First Trust Nasdaq Food & Beve,FTXG US Equity,0.0,0.0,Expression,-16.568805,39.276055,24.890004,14.829187,85.964185,-67.597305,-0.020718,-1.234308,42.3565,21.34,32.842251,-860.712407,-30.66721,0.0
        Global X Brazil Consumer ETF,BRAQ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Spirited Funds and ETFMG Whisk,WSKY US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares Edge MSCI Multifactor,CNDF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Shares Etf Trust-Dire,CLAW US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        First Trust S-Network E-Commer,FTXD US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares UltraShort Consumer,SCC US Equity,0.0,0.0,Expression,-4.157868,-1.256125,0.0,-0.593717,-0.51883,-0.608885,0.0,0.5784,-0.688793,0.154578,0.0,-0.164983,0.83289,0.0
        USCF Restaurant Leaders Fund,MENU US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Elkhorn S&P MidCap Consumer Di,XD US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares U.S. Consumer Focused,IEDI US Equity,0.0,0.0,Expression,-3.63877,1.93234,-1.96804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares Decline of the Retai,EMTY US Equity,0.0,0.0,Expression,-4.78501,-3.848875,-0.7407,-0.72284,-2.754065,-0.37282,-0.716655,-1.083662,0.0,-1.190646,0.176021,0.0,-0.3485,0.0
        Global X E-Commerce ETF,EBIZ US Equity,0.0,0.0,Expression,-1.3792,-0.6388,0.0,-2.9205,3.548,-1.575,-2.526,-2.4915,-2.3544,11.037,6.7563,2.7255,5.201,0.0
        Direxion Daily Consumer Discre,PASS US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Consumer Discre,WANT US Equity,0.0,0.0,Expression,1.209459,2.180917,0.773557,-0.244319,0.0,-0.007102,0.0,-1.122468,4.156173,-1.757652,-3.055541,-1.696286,1.050682,0.0
        Infusive US Trust-Infusive R C,JOYY US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        KraneShares CICC China Consume,KBUY US Equity,0.0,0.0,Expression,0.0,-0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        AXS 2X NKE Bull Daily ETF,NKEL US Equity,0.0,0.0,Expression,0.0,0.285171,0.0,-0.371919,0.0,0.001054,0.0,-0.115777,0.584122,0.0,0.0,0.0,0.0,0.0
        AXS 2X NKE Bear Daily ETF,NKEQ US Equity,0.0,0.0,Expression,0.0,0.381002,0.0,0.287375,0.0,-0.134201,0.0,-0.518685,-0.337988,0.0,0.0,0.0,0.0,0.0
        GraniteShares 1x Short TSLA Da,TSLI US Equity,0.0,0.0,Expression,0.321575,-0.412835,2.878386,-1.920374,0.525334,0.827461,-1.397915,1.244763,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily TSLA Bull 1.5X,TSLL US Equity,0.0,0.0,Expression,55.343653,53.196455,117.207409,4.291132,86.135461,44.149813,78.535696,-20.869378,9.189864,246.958012,34.481837,26.558109,46.767459,0.0
        Direxion Daily TSLA Bear 1X Sh,TSLS US Equity,0.0,0.0,Expression,2.021112,6.663926,8.61245,50.37523,4.591336,-24.051772,-5.039189,-2.828162,23.505406,-2.11516,-1.637959,7.532941,-13.106494,0.0
        Yieldmax Tsla Option Income Et,TSLY US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,3.365188,16.399085,38.626583,17.785537,70.722837,187.19546,297.821888,162.710225,116.47972,0.0
    Consumer Staples,0,0.0,0.0,Sum,284.545474,1183.208088,428.633973,-16.042919,-476.560839,110.303255,1359.52111,-38.124297,-711.618226,594.76072,-863.274175,-633.630692,-639.025766,0.0
        Consumer Staples Select Sector,XLP US Equity,0.0,0.0,Expression,221.086609,781.014335,154.791197,-102.953614,-277.416485,25.612021,1102.182836,-221.519021,-326.24938,491.381493,-569.274762,187.877312,-161.085505,0.0
        Vanguard Consumer Staples ETF,VDC US Equity,0.0,0.0,Expression,-60.262919,87.581221,34.999249,8.317735,-9.053985,-23.092684,19.31425,88.630936,-35.562354,233.687427,-111.954606,-4.927,-321.366992,0.0
        iShares Global Consumer Staple,KXI US Equity,0.0,0.0,Expression,-8.565495,196.910395,51.986565,-18.08027,-38.84167,21.312095,9.448265,50.364315,-3.112625,-67.807465,-21.37464,-486.380338,-8.433847,0.0
        iShares US Consumer Staples ET,IYK US Equity,0.0,0.0,Expression,129.50269,20.507775,80.832855,31.67226,-78.892405,-19.28441,0.0,31.007365,-79.62944,40.350965,-50.04481,-174.370947,-18.069881,0.0
        First Trust Consumer Staples A,FXG US Equity,0.0,0.0,Expression,-2.911355,35.138426,47.605816,28.058994,-37.714,-21.1155,-3.153,12.741,-24.764,-31.848,50.695361,-67.376396,-70.158174,0.0
        Invesco S&P 500 Equal Weight C,RHS US Equity,0.0,0.0,Expression,14.949252,23.696272,1.683949,52.702227,-11.791755,93.953536,236.372249,-16.785897,-282.015667,-20.593016,-68.310398,-15.076977,-18.437694,0.0
        Fidelity MSCI Consumer Staples,FSTA US Equity,0.0,0.0,Expression,8.0964,11.018555,11.440005,9.04032,4.416925,34.98572,-13.704005,25.02207,51.701045,-29.71374,-50.144325,-19.70784,-14.48597,0.0
        Invesco Dynamic Food & Beverag,PBJ US Equity,0.0,0.0,Expression,0.670732,19.60564,21.001554,-19.582636,-21.073619,-6.301991,3.725946,-14.798969,-13.237299,-24.98434,-22.813559,-21.804022,-19.676298,0.0
        Invesco DWA Consumer Staples M,PSL US Equity,0.0,0.0,Expression,-0.770595,-1.646914,1.768433,-1.736265,-0.840973,-2.968075,-2.589074,-3.499153,0.855388,-0.872251,0.0,-27.559059,-4.863458,0.0
        Invesco S&P SmallCap Consumer,PSCC US Equity,0.0,0.0,Expression,-1.927646,-2.150927,4.346021,-3.085572,-6.597813,9.4119,5.524368,10.852434,1.09509,5.467602,-0.677136,0.0,-1.996639,0.0
        SPDR S&P International Consume,IPS US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        John Hancock Multifactor Consu,JHMS US Equity,0.0,0.0,Expression,-10.748907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares Ultra Consumer Stapl,UGE US Equity,0.0,0.0,Expression,-0.440432,1.83811,1.303328,-0.396098,0.892278,-3.353347,2.668175,0.405815,-0.167722,-0.169612,0.0,-0.314717,-1.51946,0.0
        iShares Edge MSCI Multifactor,CNSF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Consumer Staple,SPLZ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares UltraShort Consumer,SZK US Equity,0.0,0.0,Expression,-0.86326,0.0,-1.228087,0.0,0.352663,1.14399,-0.7103,-0.339192,-0.531262,-0.138343,0.0,-0.156708,1.068152,0.0
        Elkhorn S&P MidCap Consumer St,XS US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares Evolved US Consumer St,IECS US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Global X MSCI China Consumer S,CHIS US Equity,0.0,0.0,Expression,-3.2696,9.6952,17.4867,0.0,0.0,0.0,0.4414,-0.206,0.0,0.0,-19.3753,-3.834,0.0,0.0
        Direxion Daily Consumer Staple,LACK US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Consumer Staple,NEED US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Subversive Food Security ETF,KCAL US Equity,0.0,0.0,Expression,0.0,0.0,0.616388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Energy,0,0.0,0.0,Sum,1548.279074,131.685423,-388.232319,-594.143475,-1906.698015,-2748.027519,-1268.821463,-2468.000699,-2348.117701,1487.673373,125.836025,859.059219,2659.590802,0.0
        Energy Select Sector SPDR Fund,XLE US Equity,0.0,0.0,Expression,811.674602,-443.342142,-240.789753,321.926331,-109.602051,-734.501973,-653.370121,-1597.506286,-1517.664695,1111.309048,67.06846,529.454916,1373.130426,0.0
        Alerian MLP ETF,AMLP US Equity,0.0,0.0,Expression,26.875158,20.066926,-31.466351,34.451032,-30.506786,34.753105,10.953564,-109.353428,-51.117554,25.263227,92.550298,70.991722,68.05017,0.0
        Vanguard Energy ETF,VDE US Equity,0.0,0.0,Expression,66.927563,191.913005,-274.897071,10.128853,77.540809,-313.55875,24.642159,-161.8275,-85.927729,323.759,143.049724,-77.4595,-140.654315,0.0
        JPMorgan Alerian MLP Index ETN,AMJ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ETRACS Alerian MLP Infrastruct,MLPI US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        SPDR S&P Oil & Gas Exploration,XOP US Equity,0.0,0.0,Expression,527.610069,-246.774978,298.153876,-703.282795,-284.930829,27.199811,-38.247434,-100.051489,-136.355418,216.962604,-11.353054,-225.081732,-24.423903,0.0
        VanEck Oil Services ETF,OIH US Equity,0.0,0.0,Expression,3.571238,-91.11209,-105.656822,67.453814,-249.894235,190.562508,-130.590968,2.285986,-136.208845,15.925793,-68.276456,-0.962268,71.318458,0.0
        iShares U.S. Energy ETF,IYE US Equity,0.0,0.0,Expression,-14.54927,2.40488,-15.972855,-364.743255,-76.24535,-127.216285,-51.695375,-68.03502,-124.646345,-41.32605,-23.409655,-12.001598,23.447545,0.0
        SPDR S&P North American Natura,NANR US Equity,0.0,0.0,Expression,-0.835587,-25.416216,129.441879,89.262806,9.766562,-189.524566,-8.156802,7.5696,-5.273543,-2.770333,0.0,-4.070123,-1.307837,0.0
        iShares Global Energy ETF,IXC US Equity,0.0,0.0,Expression,-37.19088,-36.442365,-22.713315,-41.76204,-41.07195,-143.051437,5.845335,0.0,-5.49594,-61.447155,17.955885,36.979901,1073.007832,0.0
        Global X MLP ETF,MLPA US Equity,0.0,0.0,Expression,52.366,18.6835,-4.0475,1.3527,11.1281,24.401,-9.665,-10.4308,-29.3377,-7.2395,-3.495,-0.9203,14.545,0.0
        Direxion Daily Energy Bull 2X,ERX US Equity,0.0,0.0,Expression,-54.906589,-6.954964,-22.28503,-34.90497,3.214585,13.292537,-24.898545,18.031328,-2.647142,-22.198821,-22.079066,-16.750746,6.094781,0.0
        iPath Select MLP ETN,ATMP US Equity,0.0,0.0,Expression,4.217749,9.139008,4.174814,1.251467,5.291048,2.633994,1.487275,-2.874174,0.0,0.0,2.147232,-0.067357,2.094223,0.0
        ETRACS Alerian MLP Index ETN,AMU US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Fidelity MSCI Energy Index ETF,FENY US Equity,0.0,0.0,Expression,11.465785,23.826025,-10.565965,14.808355,7.494285,-45.090155,-14.82204,-41.762965,48.18974,-3.2373,-14.38563,32.58817,10.95324,0.0
        InfraCap MLP ETF,AMZA US Equity,0.0,0.0,Expression,-4.371632,-0.039341,-17.341607,-8.246095,8.323848,0.0,-0.011107,-0.021057,0.0,-8.506517,3.364961,1.722015,3.326752,0.0
        iShares U.S. Oil & Gas Explora,IEO US Equity,0.0,0.0,Expression,106.82722,41.390125,-46.12152,-37.59432,-44.716845,-171.942405,-34.778575,-36.452805,-28.922275,-9.288565,14.583425,190.624913,22.508525,0.0
        First Trust Energy AlphaDEX Fu,FXN US Equity,0.0,0.0,Expression,23.427421,105.293786,52.149973,7.134103,-1044.12,-100.859,-59.8385,-85.95,-38.4485,-26.8525,31.346734,40.05157,26.363625,0.0
        SPDR S&P Oil & Gas Equipment &,XES US Equity,0.0,0.0,Expression,69.680318,-47.495292,-7.736611,25.272598,177.035463,-26.376576,-112.542213,-34.549569,-26.006893,13.845681,23.402505,63.577617,27.514653,0.0
        Global X MLP & Energy Infrastr,MLPX US Equity,0.0,0.0,Expression,26.324,9.8769,37.7262,-7.0429,-56.0106,-40.7781,3.6952,-14.151,-13.3554,-12.2119,-5.5424,-5.5591,-2.0207,0.0
        iShares U.S. Oil Equipment & S,IEZ US Equity,0.0,0.0,Expression,39.861395,91.890005,20.38763,40.75983,17.99614,-143.060695,-30.561235,-2.671615,-15.104305,-6.616185,-1.28624,141.322164,8.384186,0.0
        Invesco Solar ETF,TAN US Equity,0.0,0.0,Expression,-211.021707,213.537551,-121.945233,-36.098859,-68.449393,-23.44629,-65.425025,-73.44647,17.295117,-16.23281,-60.217519,13.216526,4.070632,0.0
        Invesco S&P 500 Equal Weight E,RYE US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.561097,9.338226,0.445798,41.753492,33.387507,0.0
        First Trust Natural Gas ETF,FCG US Equity,0.0,0.0,Expression,58.117661,4.088734,-36.50154,-75.080938,-144.0465,-60.903,-12.814,-25.296,-19.426,-4.7065,-4.052517,-19.11372,8.127708,0.0
        Direxion Daily S&P Oil & Gas E,GUSH US Equity,0.0,0.0,Expression,-95.164015,-14.639507,50.566268,-34.956911,51.822786,49.112013,-34.952912,34.696023,-71.911818,-35.309828,-62.512942,-38.110347,-22.364812,0.0
        ProShares Ultra Energy,DIG US Equity,0.0,0.0,Expression,-9.941675,-6.876305,-8.107435,5.84944,-8.2622,1.04141,-5.9987,3.08922,-7.19332,-1.85466,-2.050335,-4.60767,0.0,0.0
        C-Tracks ETNs based on Perform,MLPC US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Invesco DWA Energy Momentum ET,PXI US Equity,0.0,0.0,Expression,6.639172,4.295454,-3.916772,-5.66573,-60.325966,-5.172179,-34.814821,-13.478782,-6.588515,4.603393,-1.310656,32.933768,-3.420186,0.0
        VanEck Vectors Coal ETF,KOL US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Credit Suisse S&P MLP Index ET,MLPO US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.138201,0.0,0.0,0.0,0.0,0.0
        Direxion Zacks MLP High Income,ZMLP US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        VanEck Energy Income ETF,EINC US Equity,0.0,0.0,Expression,-1.511802,0.0,-1.579525,-1.612473,0.0,0.0,0.0,-1.527806,6.301969,0.0,1.642439,0.0,1.583749,0.0
        Tortoise North American Pipeli,TPYP US Equity,0.0,0.0,Expression,-20.196935,0.0,53.65616,-45.59186,-2.550445,-0.092435,0.0,-32.677645,-8.59409,-1.246715,2.51864,-3.70185,-13.342575,0.0
        Morgan Stanley Cushing MLP Hig,MLPY US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Invesco Dynamic Energy Explora,PXE US Equity,0.0,0.0,Expression,27.473995,19.453262,-2.614073,-10.145948,-81.548843,-27.874449,-3.128517,-11.031124,-9.171564,-4.825801,-0.35433,10.039793,-6.8598,0.0
        ETRACS 2xMonthly Leveraged S&P,MLPZ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iPath Pure Beta Crude Oil ETN,OIL US Equity,0.0,0.0,Expression,-16.629397,-3.911205,-0.239435,-3.232384,-2.809713,5.849394,-6.023087,3.241684,-55.847428,0.0,0.0,0.0,0.0,0.0
