,Rank 1950-2022,Supplier,Year,Value
116,117.0,Guyana,1950,0.0
117,118.0,Bahrain,1950,0.0
118,119.0,Cambodia,1950,0.0
119,120.0,Bangladesh,1950,0.0
120,121.0,Zambia,1950,0.0
121,122.0,Mozambique,1950,0.0
122,123.0,FMLN (El Salvador)*,1950,0.0
123,124.0,Gabon,1950,0.0
124,125.0,Malawi,1950,0.0
125,126.0,Libya HoR*,1950,0.0
126,127.0,Guatemala,1950,0.0
127,128.0,Mujahedin (Afghanistan)*,1950,0.0
128,129.0,Seychelles,1950,0.0
129,130.0,Luxembourg,1950,0.0
130,131.0,European Union**,1950,0.0
131,132.0,Niger,1950,0.0
132,133.0,Albania,1950,0.0
133,134.0,Bahamas,1950,0.0
134,135.0,United Nations**,1950,0.0
135,,Others,1950,0.0
136,,Total,1950,8083.0
137,1.0,United States,1951,4057.0
138,2.0,Soviet Union,1951,3602.0
139,3.0,Russia,1951,0.0
140,4.0,United Kingdom,1951,3468.0
141,5.0,France,1951,67.0
142,6.0,Germany,1951,0.0
143,7.0,China,1951,0.0
144,8.0,Italy,1951,106.0
145,9.0,Czechoslovakia,1951,15.0
146,10.0,Netherlands,1951,63.0
147,11.0,Israel,1951,0.0
148,12.0,Switzerland,1951,0.0
149,13.0,Spain,1951,0.0
150,14.0,Sweden,1951,46.0
151,15.0,Canada,1951,55.0
152,16.0,Ukraine,1951,0.0
153,17.0,Poland,1951,0.0
154,18.0,South Korea,1951,0.0
155,19.0,Norway,1951,30.0
156,20.0,Brazil,1951,0.0
157,21.0,Australia,1951,0.0
158,22.0,Belarus,1951,0.0
159,23.0,Turkiye,1951,0.0
160,24.0,South Africa,1951,0.0
161,25.0,North Korea,1951,0.0
162,26.0,Belgium,1951,0.0
163,27.0,Czechia,1951,0.0
164,28.0,Finland,1951,0.0
165,29.0,Japan,1951,0.0
166,30.0,Austria,1951,0.0
167,31.0,Denmark,1951,0.0
168,32.0,Yugoslavia,1951,0.0
169,33.0,Libya,1951,0.0
170,34.0,UAE,1951,0.0
171,35.0,Jordan,1951,0.0
172,36.0,Romania,1951,0.0
173,37.0,Uzbekistan,1951,0.0
174,38.0,Singapore,1951,0.0
175,39.0,Egypt,1951,0.0
176,40.0,unknown supplier(s),1951,12.0
177,41.0,Bulgaria,1951,0.0
178,42.0,Iran,1951,0.0
179,43.0,Slovakia,1951,0.0
180,44.0,East Germany (GDR),1951,0.0
181,45.0,India,1951,0.0
182,46.0,Portugal,1951,0.0
183,47.0,Indonesia,1951,0.0
184,48.0,Moldova,1951,0.0
185,49.0,Syria,1951,0.0
186,50.0,Ireland,1951,0.0
187,51.0,Hungary,1951,0.0
188,52.0,Serbia,1951,0.0
189,53.0,Pakistan,1951,0.0
190,54.0,Taiwan,1951,0.0
191,55.0,Kazakhstan,1951,0.0
192,56.0,Iraq,1951,0.0
193,57.0,Greece,1951,0.0
194,58.0,Kyrgyzstan,1951,0.0
195,59.0,Georgia,1951,0.0
196,60.0,Montenegro,1951,0.0
197,61.0,New Zealand,1951,0.0
198,62.0,Chile,1951,0.0
199,63.0,Saudi Arabia,1951,0.0
200,64.0,Kuwait,1951,0.0
201,65.0,Argentina,1951,0.0
202,66.0,Ethiopia,1951,0.0
203,67.0,Thailand,1951,0.0
204,68.0,Nicaragua,1951,0.0
205,69.0,Lithuania,1951,0.0
206,70.0,Venezuela,1951,0.0
207,71.0,Qatar,1951,0.0
208,72.0,Peru,1951,0.0
209,73.0,Malaysia,1951,0.0
210,74.0,South Yemen,1951,0.0
211,75.0,Lebanon,1951,0.0
212,76.0,Slovenia,1951,0.0
213,77.0,Cuba,1951,0.0
214,78.0,Viet Nam,1951,0.0
215,79.0,Brunei,1951,0.0
216,80.0,Morocco,1951,0.0
217,81.0,Cyprus,1951,0.0
218,82.0,North Macedonia,1951,0.0
219,83.0,Colombia,1951,0.0
220,84.0,Bosnia-Herzegovina,1951,0.0
221,85.0,Ghana,1951,0.0
222,86.0,DR Congo,1951,0.0
223,87.0,Chad,1951,0.0
224,88.0,Oman,1951,0.0
225,89.0,Latvia,1951,0.0
226,90.0,Aruba,1951,0.0
227,91.0,Sudan,1951,0.0
228,92.0,Malta,1951,0.0
229,93.0,Estonia,1951,0.0
230,94.0,Algeria,1951,0.0
231,95.0,Kenya,1951,0.0
232,96.0,Nigeria,1951,0.0
233,97.0,Fiji,1951,0.0
234,98.0,Croatia,1951,0.0
235,99.0,Ecuador,1951,0.0
236,100.0,Sri Lanka,1951,0.0
237,101.0,Uruguay,1951,0.0
238,102.0,Iceland,1951,0.0
239,103.0,Zimbabwe,1951,0.0
240,104.0,Mexico,1951,0.0
241,105.0,Philippines,1951,0.0
242,106.0,Angola,1951,0.0
243,107.0,Armenia,1951,0.0
244,108.0,Uganda,1951,0.0
245,109.0,South Vietnam,1951,0.0
246,110.0,Dominican Republic,1951,0.0
247,111.0,North Yemen,1951,0.0
248,112.0,Senegal,1951,0.0
249,113.0,Costa Rica,1951,0.0
250,114.0,Panama,1951,0.0
251,115.0,Cote d'Ivoire,1951,0.0
252,116.0,Eritrea,1951,0.0
253,117.0,Guyana,1951,0.0
254,118.0,Bahrain,1951,0.0
255,119.0,Cambodia,1951,0.0
256,120.0,Bangladesh,1951,0.0
257,121.0,Zambia,1951,0.0
258,122.0,Mozambique,1951,0.0
259,123.0,FMLN (El Salvador)*,1951,0.0
260,124.0,Gabon,1951,0.0
261,125.0,Malawi,1951,0.0
262,126.0,Libya HoR*,1951,0.0
263,127.0,Guatemala,1951,0.0
264,128.0,Mujahedin (Afghanistan)*,1951,0.0
265,129.0,Seychelles,1951,0.0
266,130.0,Luxembourg,1951,0.0
267,131.0,European Union**,1951,0.0
268,132.0,Niger,1951,0.0
269,133.0,Albania,1951,0.0
270,134.0,Bahamas,1951,0.0
271,135.0,United Nations**,1951,0.0
272,,Others,1951,0.0
273,,Total,1951,11520.0
274,1.0,United States,1952,6944.0
275,2.0,Soviet Union,1952,5883.0
276,3.0,Russia,1952,0.0
277,4.0,United Kingdom,1952,3253.0
278,5.0,France,1952,43.0
279,6.0,Germany,1952,0.0
280,7.0,China,1952,0.0
281,8.0,Italy,1952,24.0
282,9.0,Czechoslovakia,1952,15.0
283,10.0,Netherlands,1952,20.0
284,11.0,Israel,1952,0.0
285,12.0,Switzerland,1952,0.0
286,13.0,Spain,1952,0.0
287,14.0,Sweden,1952,64.0
288,15.0,Canada,1952,268.0
289,16.0,Ukraine,1952,0.0
290,17.0,Poland,1952,0.0
291,18.0,South Korea,1952,0.0
292,19.0,Norway,1952,0.0
293,20.0,Brazil,1952,0.0
294,21.0,Australia,1952,36.0
295,22.0,Belarus,1952,0.0
296,23.0,Turkiye,1952,0.0
297,24.0,South Africa,1952,0.0
298,25.0,North Korea,1952,0.0
299,26.0,Belgium,1952,0.0
300,27.0,Czechia,1952,0.0
301,28.0,Finland,1952,0.0
302,29.0,Japan,1952,0.0
303,30.0,Austria,1952,0.0
304,31.0,Denmark,1952,0.0
305,32.0,Yugoslavia,1952,0.0
306,33.0,Libya,1952,0.0
307,34.0,UAE,1952,0.0
308,35.0,Jordan,1952,0.0
309,36.0,Romania,1952,0.0
310,37.0,Uzbekistan,1952,0.0
311,38.0,Singapore,1952,0.0
312,39.0,Egypt,1952,0.0
313,40.0,unknown supplier(s),1952,0.0
314,41.0,Bulgaria,1952,0.0
315,42.0,Iran,1952,1.0
316,43.0,Slovakia,1952,0.0
317,44.0,East Germany (GDR),1952,0.0
318,45.0,India,1952,0.0
319,46.0,Portugal,1952,0.0
320,47.0,Indonesia,1952,0.0
321,48.0,Moldova,1952,0.0
322,49.0,Syria,1952,0.0
323,50.0,Ireland,1952,0.0
324,51.0,Hungary,1952,0.0
325,52.0,Serbia,1952,0.0
326,53.0,Pakistan,1952,0.0
327,54.0,Taiwan,1952,0.0
328,55.0,Kazakhstan,1952,0.0
329,56.0,Iraq,1952,0.0
330,57.0,Greece,1952,0.0
331,58.0,Kyrgyzstan,1952,0.0
332,59.0,Georgia,1952,0.0
333,60.0,Montenegro,1952,0.0
334,61.0,New Zealand,1952,0.0
335,62.0,Chile,1952,0.0
336,63.0,Saudi Arabia,1952,0.0
337,64.0,Kuwait,1952,0.0
338,65.0,Argentina,1952,0.0
339,66.0,Ethiopia,1952,0.0
340,67.0,Thailand,1952,0.0
341,68.0,Nicaragua,1952,0.0
342,69.0,Lithuania,1952,0.0
343,70.0,Venezuela,1952,0.0
344,71.0,Qatar,1952,0.0
345,72.0,Peru,1952,0.0
346,73.0,Malaysia,1952,0.0
347,74.0,South Yemen,1952,0.0
348,75.0,Lebanon,1952,0.0
349,76.0,Slovenia,1952,0.0
350,77.0,Cuba,1952,0.0
351,78.0,Viet Nam,1952,0.0
352,79.0,Brunei,1952,0.0
353,80.0,Morocco,1952,0.0
354,81.0,Cyprus,1952,0.0
355,82.0,North Macedonia,1952,0.0
356,83.0,Colombia,1952,0.0
357,84.0,Bosnia-Herzegovina,1952,0.0
358,85.0,Ghana,1952,0.0
359,86.0,DR Congo,1952,0.0
360,87.0,Chad,1952,0.0
361,88.0,Oman,1952,0.0
362,89.0,Latvia,1952,0.0
363,90.0,Aruba,1952,0.0
364,91.0,Sudan,1952,0.0
365,92.0,Malta,1952,0.0
366,93.0,Estonia,1952,0.0
367,94.0,Algeria,1952,0.0
368,95.0,Kenya,1952,0.0
369,96.0,Nigeria,1952,0.0
370,97.0,Fiji,1952,0.0
371,98.0,Croatia,1952,0.0
372,99.0,Ecuador,1952,0.0
373,100.0,Sri Lanka,1952,0.0
374,101.0,Uruguay,1952,0.0
375,102.0,Iceland,1952,0.0
376,103.0,Zimbabwe,1952,0.0
377,104.0,Mexico,1952,0.0
378,105.0,Philippines,1952,0.0
379,106.0,Angola,1952,0.0
380,107.0,Armenia,1952,0.0
381,108.0,Uganda,1952,0.0
382,109.0,South Vietnam,1952,0.0
383,110.0,Dominican Republic,1952,0.0
384,111.0,North Yemen,1952,0.0
385,112.0,Senegal,1952,0.0
386,113.0,Costa Rica,1952,0.0
387,114.0,Panama,1952,0.0
388,115.0,Cote d'Ivoire,1952,0.0
389,116.0,Eritrea,1952,0.0
390,117.0,Guyana,1952,0.0
391,118.0,Bahrain,1952,0.0
392,119.0,Cambodia,1952,0.0
393,120.0,Bangladesh,1952,0.0
394,121.0,Zambia,1952,0.0
395,122.0,Mozambique,1952,0.0
396,123.0,FMLN (El Salvador)*,1952,0.0
397,124.0,Gabon,1952,0.0
398,125.0,Malawi,1952,0.0
399,126.0,Libya HoR*,1952,0.0
400,127.0,Guatemala,1952,0.0
401,128.0,Mujahedin (Afghanistan)*,1952,0.0
402,129.0,Seychelles,1952,0.0
403,130.0,Luxembourg,1952,0.0
404,131.0,European Union**,1952,0.0
405,132.0,Niger,1952,0.0
406,133.0,Albania,1952,0.0
407,134.0,Bahamas,1952,0.0
408,135.0,United Nations**,1952,0.0
409,,Others,1952,0.0
410,,Total,1952,16552.0
411,1.0,United States,1953,9814.0
412,2.0,Soviet Union,1953,8534.0
413,3.0,Russia,1953,0.0
414,4.0,United Kingdom,1953,4607.0
415,5.0,France,1953,263.0
416,6.0,Germany,1953,38.0
417,7.0,China,1953,0.0
418,8.0,Italy,1953,1.0
419,9.0,Czechoslovakia,1953,9.0
420,10.0,Netherlands,1953,7.0
421,11.0,Israel,1953,0.0
422,12.0,Switzerland,1953,0.0
423,13.0,Spain,1953,0.0
424,14.0,Sweden,1953,165.0
425,15.0,Canada,1953,76.0
426,16.0,Ukraine,1953,0.0
427,17.0,Poland,1953,0.0
428,18.0,South Korea,1953,0.0
429,19.0,Norway,1953,8.0
430,20.0,Brazil,1953,0.0
431,21.0,Australia,1953,0.0
432,22.0,Belarus,1953,0.0
433,23.0,Turkiye,1953,0.0
434,24.0,South Africa,1953,0.0
435,25.0,North Korea,1953,0.0
436,26.0,Belgium,1953,0.0
437,27.0,Czechia,1953,0.0
438,28.0,Finland,1953,0.0
439,29.0,Japan,1953,0.0
440,30.0,Austria,1953,0.0
441,31.0,Denmark,1953,0.0
442,32.0,Yugoslavia,1953,0.0
443,33.0,Libya,1953,0.0
444,34.0,UAE,1953,0.0
445,35.0,Jordan,1953,0.0
446,36.0,Romania,1953,0.0
447,37.0,Uzbekistan,1953,0.0
448,38.0,Singapore,1953,0.0
449,39.0,Egypt,1953,0.0
450,40.0,unknown supplier(s),1953,0.0
451,41.0,Bulgaria,1953,0.0
452,42.0,Iran,1953,0.0
453,43.0,Slovakia,1953,0.0
454,44.0,East Germany (GDR),1953,0.0
455,45.0,India,1953,0.0
456,46.0,Portugal,1953,0.0
457,47.0,Indonesia,1953,0.0
458,48.0,Moldova,1953,0.0
459,49.0,Syria,1953,0.0
460,50.0,Ireland,1953,0.0
461,51.0,Hungary,1953,0.0
462,52.0,Serbia,1953,0.0
463,53.0,Pakistan,1953,0.0
464,54.0,Taiwan,1953,0.0
465,55.0,Kazakhstan,1953,0.0
466,56.0,Iraq,1953,0.0
467,57.0,Greece,1953,0.0
468,58.0,Kyrgyzstan,1953,0.0
469,59.0,Georgia,1953,0.0
470,60.0,Montenegro,1953,0.0
471,61.0,New Zealand,1953,0.0
472,62.0,Chile,1953,0.0
473,63.0,Saudi Arabia,1953,0.0
474,64.0,Kuwait,1953,0.0
475,65.0,Argentina,1953,0.0
476,66.0,Ethiopia,1953,0.0
477,67.0,Thailand,1953,0.0
478,68.0,Nicaragua,1953,0.0
479,69.0,Lithuania,1953,0.0
480,70.0,Venezuela,1953,0.0
481,71.0,Qatar,1953,0.0
482,72.0,Peru,1953,0.0
483,73.0,Malaysia,1953,0.0
484,74.0,South Yemen,1953,0.0
485,75.0,Lebanon,1953,0.0
486,76.0,Slovenia,1953,0.0
487,77.0,Cuba,1953,0.0
488,78.0,Viet Nam,1953,0.0
489,79.0,Brunei,1953,0.0
490,80.0,Morocco,1953,0.0
491,81.0,Cyprus,1953,0.0
492,82.0,North Macedonia,1953,0.0
493,83.0,Colombia,1953,0.0
494,84.0,Bosnia-Herzegovina,1953,0.0
495,85.0,Ghana,1953,0.0
496,86.0,DR Congo,1953,0.0
497,87.0,Chad,1953,0.0
498,88.0,Oman,1953,0.0
499,89.0,Latvia,1953,0.0
500,90.0,Aruba,1953,0.0
501,91.0,Sudan,1953,0.0
502,92.0,Malta,1953,0.0
503,93.0,Estonia,1953,0.0
504,94.0,Algeria,1953,0.0
505,95.0,Kenya,1953,0.0
506,96.0,Nigeria,1953,0.0
507,97.0,Fiji,1953,0.0
508,98.0,Croatia,1953,0.0
509,99.0,Ecuador,1953,0.0
510,100.0,Sri Lanka,1953,0.0
511,101.0,Uruguay,1953,0.0
512,102.0,Iceland,1953,0.0
513,103.0,Zimbabwe,1953,0.0
514,104.0,Mexico,1953,4.0
515,105.0,Philippines,1953,0.0
516,106.0,Angola,1953,0.0
517,107.0,Armenia,1953,0.0
518,108.0,Uganda,1953,0.0
519,109.0,South Vietnam,1953,0.0
520,110.0,Dominican Republic,1953,0.0
521,111.0,North Yemen,1953,0.0
522,112.0,Senegal,1953,0.0
523,113.0,Costa Rica,1953,0.0
524,114.0,Panama,1953,0.0
525,115.0,Cote d'Ivoire,1953,0.0
526,116.0,Eritrea,1953,0.0
527,117.0,Guyana,1953,0.0
528,118.0,Bahrain,1953,0.0
529,119.0,Cambodia,1953,0.0
530,120.0,Bangladesh,1953,0.0
531,121.0,Zambia,1953,0.0
532,122.0,Mozambique,1953,0.0
533,123.0,FMLN (El Salvador)*,1953,0.0
534,124.0,Gabon,1953,0.0
535,125.0,Malawi,1953,0.0
536,126.0,Libya HoR*,1953,0.0
537,127.0,Guatemala,1953,0.0
538,128.0,Mujahedin (Afghanistan)*,1953,0.0
539,129.0,Seychelles,1953,0.0
540,130.0,Luxembourg,1953,0.0
541,131.0,European Union**,1953,0.0
542,132.0,Niger,1953,0.0
543,133.0,Albania,1953,0.0
544,134.0,Bahamas,1953,0.0
545,135.0,United Nations**,1953,0.0
546,,Others,1953,0.0
547,,Total,1953,23525.0
548,1.0,United States,1954,6099.0
549,2.0,Soviet Union,1954,8625.0
550,3.0,Russia,1954,0.0
551,4.0,United Kingdom,1954,4473.0
552,5.0,France,1954,279.0
553,6.0,Germany,1954,29.0
554,7.0,China,1954,3.0
555,8.0,Italy,1954,11.0
556,9.0,Czechoslovakia,1954,188.0
557,10.0,Netherlands,1954,72.0
558,11.0,Israel,1954,8.0
559,12.0,Switzerland,1954,0.0
560,13.0,Spain,1954,0.0
561,14.0,Sweden,1954,21.0
562,15.0,Canada,1954,210.0
563,16.0,Ukraine,1954,0.0
564,17.0,Poland,1954,0.0
565,18.0,South Korea,1954,0.0
566,19.0,Norway,1954,0.0
567,20.0,Brazil,1954,0.0
568,21.0,Australia,1954,0.0
569,22.0,Belarus,1954,0.0
570,23.0,Turkiye,1954,0.0
571,24.0,South Africa,1954,0.0
572,25.0,North Korea,1954,0.0
573,26.0,Belgium,1954,0.0
574,27.0,Czechia,1954,0.0
575,28.0,Finland,1954,25.0
576,29.0,Japan,1954,2.0
577,30.0,Austria,1954,0.0
578,31.0,Denmark,1954,0.0
579,32.0,Yugoslavia,1954,0.0
580,33.0,Libya,1954,0.0
581,34.0,UAE,1954,0.0
582,35.0,Jordan,1954,0.0
583,36.0,Romania,1954,0.0
584,37.0,Uzbekistan,1954,0.0
585,38.0,Singapore,1954,0.0
586,39.0,Egypt,1954,0.0
587,40.0,unknown supplier(s),1954,0.0
588,41.0,Bulgaria,1954,0.0
589,42.0,Iran,1954,0.0
590,43.0,Slovakia,1954,0.0
591,44.0,East Germany (GDR),1954,0.0
592,45.0,India,1954,0.0
593,46.0,Portugal,1954,0.0
594,47.0,Indonesia,1954,0.0
595,48.0,Moldova,1954,0.0
596,49.0,Syria,1954,0.0
597,50.0,Ireland,1954,0.0
598,51.0,Hungary,1954,0.0
599,52.0,Serbia,1954,0.0
600,53.0,Pakistan,1954,0.0
601,54.0,Taiwan,1954,0.0
602,55.0,Kazakhstan,1954,0.0
603,56.0,Iraq,1954,0.0
604,57.0,Greece,1954,0.0
605,58.0,Kyrgyzstan,1954,0.0
606,59.0,Georgia,1954,0.0
607,60.0,Montenegro,1954,0.0
608,61.0,New Zealand,1954,0.0
609,62.0,Chile,1954,0.0
610,63.0,Saudi Arabia,1954,0.0
611,64.0,Kuwait,1954,0.0
612,65.0,Argentina,1954,0.0
613,66.0,Ethiopia,1954,0.0
614,67.0,Thailand,1954,0.0
615,68.0,Nicaragua,1954,0.0
616,69.0,Lithuania,1954,0.0
617,70.0,Venezuela,1954,0.0
618,71.0,Qatar,1954,0.0
619,72.0,Peru,1954,0.0
620,73.0,Malaysia,1954,0.0
621,74.0,South Yemen,1954,0.0
622,75.0,Lebanon,1954,0.0
623,76.0,Slovenia,1954,0.0
624,77.0,Cuba,1954,0.0
625,78.0,Viet Nam,1954,0.0
626,79.0,Brunei,1954,0.0
627,80.0,Morocco,1954,0.0
628,81.0,Cyprus,1954,0.0
629,82.0,North Macedonia,1954,0.0
630,83.0,Colombia,1954,0.0
631,84.0,Bosnia-Herzegovina,1954,0.0
632,85.0,Ghana,1954,0.0
633,86.0,DR Congo,1954,0.0
634,87.0,Chad,1954,0.0
635,88.0,Oman,1954,0.0
636,89.0,Latvia,1954,0.0
637,90.0,Aruba,1954,0.0
638,91.0,Sudan,1954,0.0
639,92.0,Malta,1954,0.0
640,93.0,Estonia,1954,0.0
641,94.0,Algeria,1954,0.0
642,95.0,Kenya,1954,0.0
643,96.0,Nigeria,1954,0.0
644,97.0,Fiji,1954,0.0
645,98.0,Croatia,1954,0.0
646,99.0,Ecuador,1954,0.0
647,100.0,Sri Lanka,1954,0.0
648,101.0,Uruguay,1954,0.0
649,102.0,Iceland,1954,0.0
650,103.0,Zimbabwe,1954,0.0
651,104.0,Mexico,1954,0.0
652,105.0,Philippines,1954,0.0
653,106.0,Angola,1954,0.0
654,107.0,Armenia,1954,0.0
655,108.0,Uganda,1954,0.0
656,109.0,South Vietnam,1954,0.0
657,110.0,Dominican Republic,1954,0.0
658,111.0,North Yemen,1954,0.0
659,112.0,Senegal,1954,0.0
660,113.0,Costa Rica,1954,0.0
661,114.0,Panama,1954,0.0
662,115.0,Cote d'Ivoire,1954,0.0
663,116.0,Eritrea,1954,0.0
664,117.0,Guyana,1954,0.0
665,118.0,Bahrain,1954,0.0
666,119.0,Cambodia,1954,0.0
667,120.0,Bangladesh,1954,0.0
668,121.0,Zambia,1954,0.0
669,122.0,Mozambique,1954,0.0
670,123.0,FMLN (El Salvador)*,1954,0.0
671,124.0,Gabon,1954,0.0
672,125.0,Malawi,1954,0.0
673,126.0,Libya HoR*,1954,0.0
674,127.0,Guatemala,1954,0.0
675,128.0,Mujahedin (Afghanistan)*,1954,0.0
676,129.0,Seychelles,1954,0.0
677,130.0,Luxembourg,1954,0.0
678,131.0,European Union**,1954,0.0
679,132.0,Niger,1954,0.0
680,133.0,Albania,1954,0.0
681,134.0,Bahamas,1954,0.0
682,135.0,United Nations**,1954,0.0
683,,Others,1954,0.0
684,,Total,1954,20043.0
685,1.0,United States,1955,7190.0
686,2.0,Soviet Union,1955,5762.0
687,3.0,Russia,1955,0.0
688,4.0,United Kingdom,1955,4808.0
689,5.0,France,1955,413.0
690,6.0,Germany,1955,24.0
691,7.0,China,1955,0.0
692,8.0,Italy,1955,140.0
693,9.0,Czechoslovakia,1955,1331.0
694,10.0,Netherlands,1955,255.0
695,11.0,Israel,1955,30.0
696,12.0,Switzerland,1955,0.0
697,13.0,Spain,1955,0.0
698,14.0,Sweden,1955,105.0
699,15.0,Canada,1955,190.0
700,16.0,Ukraine,1955,0.0
701,17.0,Poland,1955,0.0
702,18.0,South Korea,1955,0.0
703,19.0,Norway,1955,0.0
704,20.0,Brazil,1955,0.0
705,21.0,Australia,1955,125.0
706,22.0,Belarus,1955,0.0
707,23.0,Turkiye,1955,0.0
708,24.0,South Africa,1955,0.0
709,25.0,North Korea,1955,0.0
710,26.0,Belgium,1955,0.0
711,27.0,Czechia,1955,0.0
712,28.0,Finland,1955,0.0
713,29.0,Japan,1955,110.0
714,30.0,Austria,1955,0.0
715,31.0,Denmark,1955,0.0
716,32.0,Yugoslavia,1955,0.0
717,33.0,Libya,1955,0.0
718,34.0,UAE,1955,0.0
719,35.0,Jordan,1955,0.0
720,36.0,Romania,1955,0.0
721,37.0,Uzbekistan,1955,0.0
722,38.0,Singapore,1955,0.0
723,39.0,Egypt,1955,0.0
724,40.0,unknown supplier(s),1955,2.0
725,41.0,Bulgaria,1955,0.0
726,42.0,Iran,1955,0.0
727,43.0,Slovakia,1955,0.0
728,44.0,East Germany (GDR),1955,0.0
729,45.0,India,1955,0.0
730,46.0,Portugal,1955,0.0
731,47.0,Indonesia,1955,0.0
732,48.0,Moldova,1955,0.0
733,49.0,Syria,1955,0.0
734,50.0,Ireland,1955,0.0
735,51.0,Hungary,1955,0.0
736,52.0,Serbia,1955,0.0
737,53.0,Pakistan,1955,0.0
738,54.0,Taiwan,1955,0.0
739,55.0,Kazakhstan,1955,0.0
740,56.0,Iraq,1955,0.0
741,57.0,Greece,1955,0.0
742,58.0,Kyrgyzstan,1955,0.0
743,59.0,Georgia,1955,0.0
744,60.0,Montenegro,1955,0.0
745,61.0,New Zealand,1955,0.0
746,62.0,Chile,1955,0.0
747,63.0,Saudi Arabia,1955,0.0
748,64.0,Kuwait,1955,0.0
749,65.0,Argentina,1955,0.0
