,Country Name,Country Code,Series Name,Series Code,Year,GDP
85,Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,index,85
86,"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,index,86
87,Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,index,87
88,Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,index,88
89,India,IND,GDP (current US$),NY.GDP.MKTP.CD,index,89
90,Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,index,90
91,"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,index,91
92,Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,index,92
93,Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,index,93
94,Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,index,94
95,Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,index,95
96,Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,index,96
97,Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,index,97
98,Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,index,98
99,Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,index,99
100,Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,index,100
101,Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,index,101
102,Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,index,102
103,"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,index,103
104,"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,index,104
105,Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,index,105
106,Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,index,106
107,Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,index,107
108,Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,index,108
109,Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,index,109
110,Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,index,110
111,Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,index,111
112,Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,index,112
113,Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,index,113
114,Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,index,114
115,Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,index,115
116,Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,index,116
117,"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,index,117
118,Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,index,118
119,Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,index,119
120,Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,index,120
121,Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,index,121
122,Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,index,122
123,Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,index,123
124,Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,index,124
125,Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,index,125
126,Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,index,126
127,Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,index,127
128,"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,index,128
129,Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,index,129
130,Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,index,130
131,Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,index,131
132,Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,index,132
133,Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,index,133
134,Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,index,134
135,Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,index,135
136,Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,index,136
137,Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,index,137
138,Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,index,138
139,Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,index,139
140,New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,index,140
141,New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,index,141
142,Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,index,142
143,Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,index,143
144,Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,index,144
145,North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,index,145
146,Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,index,146
147,Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,index,147
148,Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,index,148
149,Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,index,149
150,Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,index,150
151,Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,index,151
152,Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,index,152
153,Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,index,153
154,Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,index,154
155,Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,index,155
156,Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,index,156
157,Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,index,157
158,Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,index,158
159,Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,index,159
160,Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,index,160
161,Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,index,161
162,Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,index,162
163,Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,index,163
164,San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,index,164
165,Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,index,165
166,Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,index,166
167,Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,index,167
168,Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,index,168
169,Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,index,169
170,Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,index,170
171,Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,index,171
172,Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,index,172
173,Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,index,173
174,Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,index,174
175,Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,index,175
176,Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,index,176
177,South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,index,177
178,South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,index,178
179,Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,index,179
180,Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,index,180
181,St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,index,181
182,St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,index,182
183,St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,index,183
184,St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,index,184
185,Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,index,185
186,Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,index,186
187,Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,index,187
188,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,index,188
189,Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,index,189
190,Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,index,190
191,Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,index,191
192,Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,index,192
193,Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,index,193
194,Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,index,194
195,Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,index,195
196,Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,index,196
197,Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,index,197
198,Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,index,198
199,Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,index,199
200,Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,index,200
201,Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,index,201
202,Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,index,202
203,Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,index,203
204,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,index,204
205,United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,index,205
206,United States,USA,GDP (current US$),NY.GDP.MKTP.CD,index,206
207,Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,index,207
208,Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,index,208
209,Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,index,209
210,"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,index,210
211,Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,index,211
212,Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,index,212
213,West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,index,213
214,"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,index,214
215,Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,index,215
216,Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,index,216
217,Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,index,217
218,Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,index,218
219,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,index,219
220,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,index,220
221,Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,index,221
222,Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,index,222
223,East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,index,223
224,East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,index,224
225,East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,index,225
226,Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,index,226
227,Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,index,227
228,Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,index,228
229,Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,index,229
230,European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,index,230
231,Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,index,231
232,Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,index,232
233,High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,index,233
234,IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,index,234
235,IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,index,235
236,IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,index,236
237,IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,index,237
238,IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,index,238
239,Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,index,239
240,Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,index,240
241,Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,index,241
242,Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,index,242
243,Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,index,243
244,Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,index,244
245,Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,index,245
246,Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,index,246
247,Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,index,247
248,Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,index,248
249,Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,index,249
250,Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,index,250
251,North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,index,251
252,Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,index,252
253,OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,index,253
254,Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,index,254
255,Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,index,255
256,Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,index,256
257,Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,index,257
258,Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,index,258
259,South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,index,259
260,South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,index,260
261,Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,index,261
262,Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,index,262
263,Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,index,263
264,Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,index,264
265,World,WLD,GDP (current US$),NY.GDP.MKTP.CD,index,265
266,0,0,0,0,index,266
267,0,0,0,0,index,267
268,0,0,0,0,index,268
269,0,0,Data from database: World Development Indicators,0,index,269
270,0,0,Last Updated: 10/26/2023,0,index,270
271,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,537777811.111111
272,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1960,..
273,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1960,2723615449.12903
274,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1960,..
275,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1960,..
276,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1960,..
277,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1960,..
278,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1960,..
279,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1960,..
280,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1960,..
281,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18606562979.2829
282,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6592693841.18495
283,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1960,..
284,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1960,169803921.568627
285,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1960,..
286,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1960,4274893913.49536
287,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1960,..
288,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1960,..
289,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11658722590.99
290,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1960,28072478.0640563
291,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1960,226195578.067006
292,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1960,84466654.0769119
293,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1960,..
294,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,377020202.020202
295,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1960,..
296,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1960,30411418.6788295
297,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1960,17030465539.3906
298,British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,1960,..
299,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1960,..
300,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1960,..
301,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442815.284328
302,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1960,195999989.80792
303,Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1960,..
304,Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1960,637142865.714286
305,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1960,614206067.499389
306,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,40462398501.8858
307,Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1960,..
308,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1960,112155598.309943
309,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1960,313582727.638108
310,Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1960,..
311,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1960,4110000000
312,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1960,59716251765.1756
313,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4031152977.24659
314,Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1960,..
315,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1960,3359404117.64706
316,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1960,131731862.568997
317,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513829.994855
318,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1960,546203558.456965
319,Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,1960,..
320,Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1960,..
321,Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1960,..
322,Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1960,..
323,Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,1960,..
324,Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1960,..
325,Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1960,..
326,Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1960,..
327,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700
328,Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,2069465326.42335
329,"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1960,..
330,El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1960,..
331,Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1960,..
332,Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1960,..
333,Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1960,..
334,Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1960,35076845.9832923
335,Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1960,..
336,Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1960,..
337,Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1960,112328422.113084
338,Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5224102195.52771
339,France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,62225478000.8822
340,French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,1960,..
341,Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1960,141468977.570007
342,"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1960,..
343,Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1960,..
344,Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,..
